Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass,Partmass
Non-ferrous metals,Wrought Aluminium,kg,"Other, Instrument panel (GREET data)",0.3306505882,interior,Aluminium,Utilitycars,0.240403956,0.0001951892492
Non-ferrous metals,Magnesium,kg,"Other, Instrument panel (GREET data)",0.3306505882,interior,Magnesium,Utilitycars,0.240403956,0.0001951892492
Polymers,Rubber (GREET),kg,"Other, Instrument panel (GREET data)",0.3306505882,interior,Rubber,Utilitycars,0.240403956,0.0001951892492
Polymers,Polypropylene ether (PE),kg,B post finishers (2),0.2984608857,interior,Polypropylene,Utilitycars,0.217,0.0001761870636
Polymers,Polypropylene (PP),kg,B post finishers (2),0.2984608857,interior,Polypropylene,Utilitycars,0.217,0.0001761870636
Polymers,Polypropylene ether (PE),kg,C post finishers (2),0.5570352937,interior,Polypropylene,Utilitycars,0.405,0.0003288283906
Polymers,Polypropylene (PP),kg,C post finishers (2),0.5570352937,interior,Polypropylene,Utilitycars,0.405,0.0003288283906
Polymers,Polypropylene ether (PE),kg,Sill finishers (2),0.5570352937,interior,Polypropylene,Utilitycars,0.405,0.0003288283906
Polymers,Polypropylene (PP),kg,Sill finishers (2),0.5570352937,interior,Polypropylene,Utilitycars,0.405,0.0003288283906
Polymers,Polypropylene ether (PE),kg,A post finishers (2),0.5570352937,interior,Polypropylene,Utilitycars,0.405,0.0003288283906
Polymers,Polypropylene (PP),kg,A post finishers (2),0.5570352937,interior,Polypropylene,Utilitycars,0.405,0.0003288283906
Ferous metals,Steel (GREET),kg,"Other, Trim and Insulation (GREET data)",9.018026895,interior,Steel,Utilitycars,6.556677708,0.005323510564
Non-ferrous metals,Wrought Aluminium,kg,"Other, Trim and Insulation (GREET data)",0.03056958252,interior,Aluminium,Utilitycars,0.022226026,0.00001804579842
Polymers,Other plastic (GREET),kg,"Other, Trim and Insulation (GREET data)",16.60362604,interior,Plastic,Utilitycars,12.07188956,0.009801432137
Polymers,Other plastic (GREET),kg,"Doors, including trunk lid, interior plastics etc.",16.50474944,interior,Plastic,Utilitycars,12,0.009743063425
Polymers,Polyurethane (polyether type) (PUR-E),kg,Squab pads,4.812509858,interior,Polyurethane,Utilitycars,3.499,0.00284091491
Polymers,Polyurethane (polyether type) (PUR-E),kg,Cushion pads,7.458771352,interior,Polyurethane,Utilitycars,5.423,0.004403052746
Polymers,Polyethylene terephthalate (PET),kg,Seat Belts (2),0.5198996074,interior,PET,Utilitycars,0.378,0.0003069064979
Polymers,Nylon 6 (PA6),kg,Height Controls (2),0.3658552793,interior,Nylon,Utilitycars,0.266,0.0002159712393
Polymers,Polyurethane (polyether type) (PUR-E),kg,Head Rest Pads (4),0.6821963103,interior,Polyurethane,Utilitycars,0.496,0.0004027132882
Ferous metals,Steel (GREET),kg,"Other, Seating and restraint (GREET data)",47.76341329,interior,Steel,Utilitycars,34.72703185,0.02819563949
Polymers,Other plastic (GREET),kg,"Other, Seating and restraint (GREET data)",20.74806687,interior,Plastic,Utilitycars,15.08516099,0.01224797336
Ferous metals,Rolled steel (MUSES),kg,HVAC (GREET),8.527453878,interior,Steel,Utilitycars,6.2,0.005033916103
Ferous metals,EAF steel (MUSES),kg,HVAC (GREET),0.1375395787,interior,Steel,Utilitycars,0.1,0.00008119219521
Ferous metals,Galvanized steel (MUSES),kg,HVAC (GREET),7.28959767,interior,Steel,Utilitycars,5.3,0.004303186346
Ferous metals,Stainless steel (MUSES),kg,HVAC (GREET),1.650474944,interior,Steel,Utilitycars,1.2,0.0009743063425
Non-ferrous metals,Cast Aluminium,kg,HVAC (GREET),7.28959767,interior,Aluminium,Utilitycars,5.3,0.004303186346
Non-ferrous metals,Extruded aluminum (MUSES),kg,HVAC (GREET),16.50474944,interior,Aluminium,Utilitycars,12,0.009743063425
Non-ferrous metals,Rolled aluminum (MUSES),kg,HVAC (GREET),1.237856208,interior,Aluminium,Utilitycars,0.9,0.0007307297569
Non-ferrous metals,Copper,kg,HVAC (GREET),4.584189667,interior,Copper,Utilitycars,3.332996735,0.002706133215
Non-ferrous metals,Zinc,kg,HVAC (GREET),0.1372511871,interior,Zinc,Utilitycars,0.099790321,0.00008102195222
Non-ferrous metals,Other metals,kg,HVAC (GREET),1.100316629,interior,Metal,Utilitycars,0.8,0.0006495375617
Polymers,Acrylonitrile butadiene styrene (ABS),kg,HVAC (GREET),1.925554102,interior,ABS,Utilitycars,1.4,0.001136690733
Polymers,Polypropylene ether (PE),kg,HVAC (GREET),5.501583147,interior,Polypropylene,Utilitycars,4,0.003247687808
Polymers,Nylon 66 (PA66),kg,HVAC (GREET),0.2750791574,interior,Nylon,Utilitycars,0.2,0.0001623843904
Polymers,Other plastic (GREET),kg,HVAC (GREET),13.75395787,interior,Plastic,Utilitycars,10,0.008119219521
Polymers,Rubber (GREET),kg,HVAC (GREET),4.263726939,interior,Rubber,Utilitycars,3.1,0.002516958051
Polymers,Extruded rubber (MUSES),kg,HVAC (GREET),1.237856208,interior,Rubber,Utilitycars,0.9,0.0007307297569
Other,Other,kg,HVAC (GREET),0.1921516627,interior,Other,Utilitycars,0.13970645,0.0001134307336
Non-ferrous metals,Copper,kg,Interior electrical (GREET),5.627298692,interior,Copper,Utilitycars,4.091403177,0.003321900054
Polymers,Other plastic (GREET),kg,Interior electrical (GREET),8.09782007,interior,Plastic,Utilitycars,5.887628963,0.004780295201
Ferous metals,Steel (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),6.862559381,interior,Steel,Utilitycars,4.98951607,0.004051097627
Polymers,Other plastic (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),6.862559381,interior,Plastic,Utilitycars,4.98951607,0.004051097627
Polymers,"Nylon 6, 10% Glass fiber, 20% Minerals (PA6-(GF10+MX20))",kg,Engine Finisher,1.775635961,interior,Nylon,Utilitycars,1.291,0.00104819124
Polymers,High density polyethylene (PE-HD),kg,Wash Fluid Tank,0.8444930131,interior,Polyethylene,Utilitycars,0.614,0.0004985200786
Polymers,"Nylon 66, 25% Glass fiber (PA66-GF25)",kg,Steering Oil Tank,0.3067132605,interior,Nylon,Utilitycars,0.223,0.0001810585953
Polymers,Polypropylene ether (PE),kg,Brake Fluid Tank,0.08664993457,interior,Polypropylene,Utilitycars,0.063,0.00005115108298
Polymers,Polypropylene (PP),kg,Brake Fluid Tank,0.08664993457,interior,Polypropylene,Utilitycars,0.063,0.00005115108298
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Wheel Arc Finisher,2.153869802,interior,Polypropylene,Utilitycars,1.566,0.001271469777
Polymers,Polypropylene (PP),kg,Load Space Finishers (2),2.329920463,interior,Polypropylene,Utilitycars,1.694,0.001375395787
Polymers,Polypropylene ether (PE),kg,Latch Finisher,0.4332496728,interior,Polypropylene,Utilitycars,0.315,0.0002557554149
Polymers,Polypropylene (PP),kg,Latch Finisher,0.4332496728,interior,Polypropylene,Utilitycars,0.315,0.0002557554149
Polymers,Polypropylene ether (PE),kg,Tool Box,0.2118109512,interior,Polypropylene,Utilitycars,0.154,0.0001250359806
Ferous metals,Steel,kg,"Brakes, hardware",14.5717627,brakes,Steel,Utilitycars,10.594596,0.008601985066
Ferous metals,Cast iron,kg,"Brakes, hardware",24.98016463,brakes,Iron,Utilitycars,18.16216457,0.01474626011
Friction Materials,Barium Sulfate,kg,"Brakes, friction material",1.82E-08,brakes,Barium sulphate,Utilitycars,1.32E-08,1.07E-11
Friction Materials,Brass,kg,"Brakes, friction material",1.82E-09,brakes,Brass,Utilitycars,1.32E-09,1.07E-12
Friction Materials,Aluminum Oxide,kg,"Brakes, friction material",1.82E-08,brakes,Aluminium,Utilitycars,1.32E-08,1.07E-11
Friction Materials,Fibrous Glass,kg,"Brakes, friction material",1.82E-08,brakes,Glassfibre,Utilitycars,1.32E-08,1.07E-11
Friction Materials,Phenol Formaldehyde Resin,kg,"Brakes, friction material",9.08E-09,brakes,Resin,Utilitycars,6.60E-09,5.36E-12
Friction Materials,Silica sand,kg,"Brakes, friction material",1.040840161,brakes,Silica,Utilitycars,0.756756834,0.0006144274859
Friction Materials,Ceramic,kg,"Brakes, friction material",2.081680321,brakes,Ceramic,Utilitycars,1.513513667,0.001228854971
