Material Group,Material/Component,Unit,Component,Part,Material,Unitmass,Vehicle,Class,Hawkinsmass,Partmass
Non-ferrous metals,Extruded aluminum (MUSES),kg,HVAC (GREET),interior,Aluminium,10.9219741,icecar,Cars,12,0.009743063425
Non-ferrous metals,Rolled aluminum (MUSES),kg,HVAC (GREET),interior,Aluminium,0.8191480574,icecar,Cars,0.9,0.0007307297569
Non-ferrous metals,Copper,kg,HVAC (GREET),interior,Copper,3.033575334,icecar,Cars,3.332996735,0.002706133215
Non-ferrous metals,Zinc,kg,HVAC (GREET),interior,Zinc,0.09082560844,icecar,Cars,0.099790321,0.00008102195222
Non-ferrous metals,Other metals,kg,HVAC (GREET),interior,Metal,0.7281316066,icecar,Cars,0.8,0.0006495375617
Polymers,Acrylonitrile butadiene styrene (ABS),kg,HVAC (GREET),interior,ABS,1.274230312,icecar,Cars,1.4,0.001136690733
Polymers,Polypropylene ether (PE),kg,HVAC (GREET),interior,Polypropylene,3.640658033,icecar,Cars,4,0.003247687808
Polymers,Nylon 66 (PA66),kg,HVAC (GREET),interior,Nylon,0.1820329017,icecar,Cars,0.2,0.0001623843904
Polymers,Other plastic (GREET),kg,HVAC (GREET),interior,Plastic,9.101645083,icecar,Cars,10,0.008119219521
Polymers,Rubber (GREET),kg,HVAC (GREET),interior,Rubber,2.821509976,icecar,Cars,3.1,0.002516958051
Polymers,Extruded rubber (MUSES),kg,HVAC (GREET),interior,Rubber,0.8191480574,icecar,Cars,0.9,0.0007307297569
Other,Other,kg,HVAC (GREET),interior,Other,0.1271558524,icecar,Cars,0.13970645,0.0001134307336
Non-ferrous metals,Copper,kg,Interior electrical (GREET),interior,Copper,3.723849961,icecar,Cars,4.091403177,0.003321900054
Polymers,Other plastic (GREET),kg,Interior electrical (GREET),interior,Plastic,5.35871092,icecar,Cars,5.887628963,0.004780295201
Ferous metals,Steel (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),interior,Steel,4.54128044,icecar,Cars,4.98951607,0.004051097627
Polymers,Other plastic (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),interior,Plastic,4.54128044,icecar,Cars,4.98951607,0.004051097627
Polymers,"Nylon 6, 10% Glass fiber, 20% Minerals (PA6-(GF10+MX20))",kg,Engine Finisher,interior,Nylon,1.17502238,icecar,Cars,1.291,0.00104819124
Polymers,High density polyethylene (PE-HD),kg,Wash Fluid Tank,interior,Polyethylene,0.5588410081,icecar,Cars,0.614,0.0004985200786
Polymers,"Nylon 66, 25% Glass fiber (PA66-GF25)",kg,Steering Oil Tank,interior,Nylon,0.2029666853,icecar,Cars,0.223,0.0001810585953
Polymers,Polypropylene ether (PE),kg,Brake Fluid Tank,interior,Polypropylene,0.05734036402,icecar,Cars,0.063,0.00005115108298
Polymers,Polypropylene (PP),kg,Brake Fluid Tank,interior,Polypropylene,0.05734036402,icecar,Cars,0.063,0.00005115108298
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Wheel Arc Finisher,interior,Polypropylene,1.42531762,icecar,Cars,1.566,0.001271469777
Polymers,Polypropylene (PP),kg,Load Space Finishers (2),interior,Polypropylene,1.541818677,icecar,Cars,1.694,0.001375395787
Polymers,Polypropylene ether (PE),kg,Latch Finisher,interior,Polypropylene,0.2867018201,icecar,Cars,0.315,0.0002557554149
Polymers,Polypropylene (PP),kg,Latch Finisher,interior,Polypropylene,0.2867018201,icecar,Cars,0.315,0.0002557554149
Polymers,Polypropylene ether (PE),kg,Tool Box,interior,Polypropylene,0.1401653343,icecar,Cars,0.154,0.0001250359806
Ferous metals,Steel,kg,"Brakes, hardware",brakes,Steel,9.642825259,icecar,Cars,10.594596,0.008601985066
Ferous metals,Cast iron,kg,"Brakes, hardware",brakes,Iron,16.53055758,icecar,Cars,18.16216457,0.01474626011
Friction Materials,Barium Sulfate,kg,"Brakes, friction material",brakes,Barium sulphate,1.20E-08,icecar,Cars,1.32E-08,1.07E-11
Friction Materials,Brass,kg,"Brakes, friction material",brakes,Brass,1.20E-09,icecar,Cars,1.32E-09,1.07E-12
Friction Materials,Aluminum Oxide,kg,"Brakes, friction material",brakes,Aluminium,1.20E-08,icecar,Cars,1.32E-08,1.07E-11
Friction Materials,Fibrous Glass,kg,"Brakes, friction material",brakes,Glassfibre,1.20E-08,icecar,Cars,1.32E-08,1.07E-11
Friction Materials,Phenol Formaldehyde Resin,kg,"Brakes, friction material",brakes,Resin,6.01E-09,icecar,Cars,6.60E-09,5.36E-12
Friction Materials,Silica sand,kg,"Brakes, friction material",brakes,Silica,0.6887732117,icecar,Cars,0.756756834,0.0006144274859
Friction Materials,Ceramic,kg,"Brakes, friction material",brakes,Ceramic,1.377546422,icecar,Cars,1.513513667,0.001228854971
Ferous metals,Steel,kg,Cradle,chassis,Steel,27.24768264,icecar,Cars,29.93709642,0.02430658576
Ferous metals,Steel,kg,Driveshaft/axle,chassis,Steel,67.29351925,icecar,Cars,73.93555631,0.06002990121
Ferous metals,Steel,kg,Corner suspension,chassis,Steel,37.15593088,icecar,Cars,40.8233133,0.03314534422
Ferous metals,Steel,kg,Steering system,chassis,Steel,16.18347211,icecar,Cars,17.7808209,0.01443663881
Non-ferrous metals,Wrought Aluminium,kg,Steering system,chassis,Aluminium,3.034401022,icecar,Cars,3.33390392,0.002706869779
Polymers,Rubber,kg,Steering system,chassis,Rubber,1.011467008,icecar,Cars,1.111301307,0.0009022899265
Non-ferrous metals,Copper,kg,Chassis electrical,chassis,Copper,3.723849961,icecar,Cars,4.091403177,0.003321900054
Polymers,Plastic,kg,Chassis electrical,chassis,Plastic,5.35871092,icecar,Cars,5.887628963,0.004780295201
Ferous metals,Steel,kg,Weld blanks and fasteners (chassis to body),chassis,Steel,9.082560881,icecar,Cars,9.97903214,0.008102195255
Ferous metals,galv steel,kg,Body-in-white,doors,Steel,192.2438836,icecar,Cars,211.2188312,0.1714932057
Scrap,"Scrap, galv steel",kg,Body-in-white,doors,Steel,40.39167428,icecar,Cars,44.37843259,0.03603182362
Ferous metals,Rolled steel,kg,Body panels,doors,Steel,17.39991568,icecar,Cars,19.11733046,0.01552178027
Ferous metals,EAF steel,kg,Body panels,doors,Steel,9.389803166,icecar,Cars,10.3166,0.008376274011
Ferous metals,galv steel,kg,Body panels,doors,Steel,4.166824135,icecar,Cars,4.5781,0.003717059889
Ferous metals,hot rolled steel,kg,Body panels,doors,Steel,30.44985244,icecar,Cars,33.45532831,0.02716311547
Scrap,"Scrap, Rolled steel",kg,Body panels,doors,Steel,3.655834003,icecar,Cars,4.016673876,0.003261225694
Scrap,"Scrap, EAF steel",kg,Body panels,doors,Steel,1.972857934,icecar,Cars,2.167583899,0.001759908951
Scrap,"Scrap, galv steel",kg,Body panels,doors,Steel,0.8754765042,icecar,Cars,0.961888204,0.0007809781483
Scrap,"Scrap, hot rolled steel",kg,Body panels,doors,Steel,6.397709506,icecar,Cars,7.029179283,0.005707144965
Ferous metals,galv steel,kg,Bumpers,doors,Steel,7.675799567,icecar,Cars,8.43342,0.006847278829
Scrap,"Scrap, galv steel",kg,Bumpers,doors,Steel,1.612734773,icecar,Cars,1.77191569,0.001438657246
Ferous metals,EAF steel,kg,Body hardware,doors,Steel,0.3343216272,icecar,Cars,0.36732,0.0002982351714
Ferous metals,stainless steel,kg,Body hardware,doors,Steel,0.07249964904,icecar,Cars,0.079655544,0.00006467408478
Non-ferrous metals,Copper,kg,Body hardware,doors,Copper,0.1816512178,icecar,Cars,0.199580643,0.0001620439053
Glass,Glass,kg,Body hardware,doors,Glass,0.05449536543,icecar,Cars,0.059874193,0.00004861317166
Polymers,Plastic,kg,Body hardware,doors,Plastic,5.598135127,icecar,Cars,6.150684932,0.004993876117
Polymers,Rubber,kg,Body hardware,doors,Rubber,0.2088989001,icecar,Cars,0.229517739,0.0001863504907
Scrap,"Scrap, EAF steel",kg,Body hardware,doors,Steel,0.07024312004,icecar,Cars,0.07717629,0.00006266112403
Scrap,"Scrap, stainless steel",kg,Body hardware,doors,Steel,0.01523264154,icecar,Cars,0.016736141,0.00001358844027
Scrap,"Scrap, glass",kg,Body hardware,doors,Glass,0.00286817684,icecar,Cars,0.003151273,0.000002558587726
Ferous metals,EAF steel,kg,Weld blanks and fasteners (electronics to body),doors,Steel,3.837899673,icecar,Cars,4.216709878,0.003423639315
Polymers,Plastic,kg,Weld blanks and fasteners (electronics to body),doors,Plastic,3.11700174,icecar,Cars,3.424657534,0.00278055463
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (electronics to body),doors,Steel,0.8063673627,icecar,Cars,0.885957819,0.0007193286019
Ferous metals,EAF steel,kg,Weld blanks and fasteners (other systems to body),doors,Steel,3.837899673,icecar,Cars,4.216709878,0.003423639315
Polymers,Plastic,kg,Weld blanks and fasteners (other systems to body),doors,Plastic,3.11700174,icecar,Cars,3.424657534,0.00278055463
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (other systems to body),doors,Steel,0.8063673627,icecar,Cars,0.885957819,0.0007193286019
Ferous metals,galv steel,kg,"Doors, including trunk lid",doors,Steel,84.64529927,icecar,Cars,93,0.07550874154
Glass,Glass,kg,"Doors, including trunk lid",doors,Glass,0.06811920656,icecar,Cars,0.074842741,0.00006076646437
Polymers,Plastic,kg,"Doors, including trunk lid",doors,Plastic,10.9219741,icecar,Cars,12,0.009743063425
Scrap,"Scrap, galv steel",kg,"Doors, including trunk lid",doors,Steel,17.78452085,icecar,Cars,19.53989712,0.01586487141
Scrap,"Scrap, glass",kg,"Doors, including trunk lid",doors,Glass,0.003585221733,icecar,Cars,0.003939092,0.000003198235266
Glass,Glass,kg,Windscreen glass,doors,Glass,10.5579083,icecar,Cars,11.6,0.009418294644
Scrap,"Scrap, glass",kg,Windscreen glass,doors,Glass,0.5556793842,icecar,Cars,0.610526316,0.0004956997183
Glass,Glass,kg,Rear screen glass,doors,Glass,4.159451803,icecar,Cars,4.57,0.003710483321
Scrap,"Scrap, glass",kg,Rear screen glass,doors,Glass,0.2189185161,icecar,Cars,0.240526316,0.000195288596
Glass,Glass,kg,Side body glass (6),doors,Glass,11.40436129,icecar,Cars,12.53,0.01017338206
Scrap,"Scrap, glass",kg,Side body glass (6),doors,Glass,0.6002295413,icecar,Cars,0.659473684,0.0005354411609
polymers,Rubber,kg,Tires (x4),wheels,Rubber,16.47876794,icecar,Cars,18.10526316,0.01470006061
Other,Graphite,kg,Tires (x4),wheels,Graphite,7.580233252,icecar,Cars,8.328421053,0.006762027879
Ferrous metals,Steel (tires),kg,Tires (x4),wheels,Steel,5.163347287,icecar,Cars,5.672982456,0.00460601899
Textiles,Textiles,kg,Tires (x4),wheels,Textile,1.757735247,icecar,Cars,1.93122807,0.001568006464
Non-ferrous metals,Zinc oxide,kg,Tires (x4),wheels,Zinc,0.3295753586,icecar,Cars,0.362105263,0.000294001212
Other,Sulphur,kg,Tires (x4),wheels,Sulphur,0.3295753586,icecar,Cars,0.362105263,0.000294001212
Other,Additives,kg,Tires (x4),wheels,Other,2.746461324,icecar,Cars,3.01754386,0.002450010101
Ferrous metals,Steel (wheels),kg,Wheels (x4),wheels,Steel,37.56877849,icecar,Cars,41.27691,0.03351362934
Non-ferrous metals,Lead,kg,Wheels (x4),wheels,Lead,0.2730493525,icecar,Cars,0.3,0.0002435765856
