Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass,Partmass
Polymers,Polystyrene (PS),kg,Dashboard,5.997599197,interior,Polystyrene,Utilitycars,3.701,0.002547429612
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Glove Box,3.461462276,interior,ABS,Utilitycars,2.136,0.001470226872
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Air Duct,0.3856872761,interior,Polypropylene,Utilitycars,0.238,0.0001638174136
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Steering Column Finisher,0.1458481296,interior,Polypropylene,Utilitycars,0.09,0.00006194776145
Ferous metals,Steel (GREET),kg,"Other, Instrument panel (GREET data)",17.92081664,interior,Steel,Utilitycars,11.05858198,0.007611715539
Non-ferrous metals,Wrought Aluminium,kg,"Other, Instrument panel (GREET data)",0.3895829704,interior,Aluminium,Utilitycars,0.240403956,0.0001654720769
Non-ferrous metals,Magnesium,kg,"Other, Instrument panel (GREET data)",0.3895829704,interior,Magnesium,Utilitycars,0.240403956,0.0001654720769
Polymers,Rubber (GREET),kg,"Other, Instrument panel (GREET data)",0.3895829704,interior,Rubber,Utilitycars,0.240403956,0.0001654720769
Polymers,Polypropylene ether (PE),kg,B post finishers (2),0.3516560459,interior,Polypropylene,Utilitycars,0.217,0.0001493629359
Polymers,Polypropylene (PP),kg,B post finishers (2),0.3516560459,interior,Polypropylene,Utilitycars,0.217,0.0001493629359
Polymers,Polypropylene ether (PE),kg,C post finishers (2),0.6563165833,interior,Polypropylene,Utilitycars,0.405,0.0002787649265
Polymers,Polypropylene (PP),kg,C post finishers (2),0.6563165833,interior,Polypropylene,Utilitycars,0.405,0.0002787649265
Polymers,Polypropylene ether (PE),kg,Sill finishers (2),0.6563165833,interior,Polypropylene,Utilitycars,0.405,0.0002787649265
Polymers,Polypropylene (PP),kg,Sill finishers (2),0.6563165833,interior,Polypropylene,Utilitycars,0.405,0.0002787649265
Polymers,Polypropylene ether (PE),kg,A post finishers (2),0.6563165833,interior,Polypropylene,Utilitycars,0.405,0.0002787649265
Polymers,Polypropylene (PP),kg,A post finishers (2),0.6563165833,interior,Polypropylene,Utilitycars,0.405,0.0002787649265
Ferous metals,Steel (GREET),kg,"Other, Trim and Insulation (GREET data)",10.62532422,interior,Steel,Utilitycars,6.556677708,0.00451301674
Non-ferrous metals,Wrought Aluminium,kg,"Other, Trim and Insulation (GREET data)",0.03601804801,interior,Aluminium,Utilitycars,0.022226026,0.00001529836174
Polymers,Other plastic (GREET),kg,"Other, Trim and Insulation (GREET data)",19.56291681,interior,Plastic,Utilitycars,12.07188956,0.008309183719
Polymers,Other plastic (GREET),kg,"Doors, including trunk lid, interior plastics etc.",19.44641728,interior,Plastic,Utilitycars,12,0.008259701527
Polymers,Polyurethane (polyether type) (PUR-E),kg,Squab pads,5.670251173,interior,Polyurethane,Utilitycars,3.499,0.002408391303
Polymers,Polyurethane (polyether type) (PUR-E),kg,Cushion pads,8.788160077,interior,Polyurethane,Utilitycars,5.423,0.003732696782
Polymers,Polyethylene terephthalate (PET),kg,Seat Belts (2),0.6125621444,interior,PET,Utilitycars,0.378,0.0002601805981
Polymers,Nylon 6 (PA6),kg,Height Controls (2),0.4310622498,interior,Nylon,Utilitycars,0.266,0.0001830900505
Polymers,Polyurethane (polyether type) (PUR-E),kg,Head Rest Pads (4),0.8037852477,interior,Polyurethane,Utilitycars,0.496,0.0003414009964
Ferous metals,Steel (GREET),kg,"Other, Seating and restraint (GREET data)",56.27636269,interior,Steel,Utilitycars,34.72703185,0.02390290983
Polymers,Other plastic (GREET),kg,"Other, Seating and restraint (GREET data)",24.44602795,interior,Plastic,Utilitycars,15.08516099,0.01038324394
Ferous metals,Rolled steel (MUSES),kg,HVAC (GREET),10.0473156,interior,Steel,Utilitycars,6.2,0.004267512455
Ferous metals,EAF steel (MUSES),kg,HVAC (GREET),0.1620534774,interior,Steel,Utilitycars,0.1,0.00006883084606
Ferous metals,Galvanized steel (MUSES),kg,HVAC (GREET),8.5888343,interior,Steel,Utilitycars,5.3,0.003648034841
Ferous metals,Stainless steel (MUSES),kg,HVAC (GREET),1.944641728,interior,Steel,Utilitycars,1.2,0.0008259701527
Non-ferrous metals,Cast Aluminium,kg,HVAC (GREET),8.5888343,interior,Aluminium,Utilitycars,5.3,0.003648034841
Non-ferrous metals,Extruded aluminum (MUSES),kg,HVAC (GREET),19.44641728,interior,Aluminium,Utilitycars,12,0.008259701527
Non-ferrous metals,Rolled aluminum (MUSES),kg,HVAC (GREET),1.458481296,interior,Aluminium,Utilitycars,0.9,0.0006194776145
Non-ferrous metals,Copper,kg,HVAC (GREET),5.401237109,interior,Copper,Utilitycars,3.332996735,0.002294129852
Non-ferrous metals,Zinc,kg,HVAC (GREET),0.1617136852,interior,Zinc,Utilitycars,0.099790321,0.00006868652223
Non-ferrous metals,Other metals,kg,HVAC (GREET),1.296427819,interior,Metal,Utilitycars,0.8,0.0005506467684
Polymers,Acrylonitrile butadiene styrene (ABS),kg,HVAC (GREET),2.268748683,interior,ABS,Utilitycars,1.4,0.0009636318448
Polymers,Polypropylene ether (PE),kg,HVAC (GREET),6.482139094,interior,Polypropylene,Utilitycars,4,0.002753233842
Polymers,Nylon 66 (PA66),kg,HVAC (GREET),0.3241069547,interior,Nylon,Utilitycars,0.2,0.0001376616921
Polymers,Other plastic (GREET),kg,HVAC (GREET),16.20534774,interior,Plastic,Utilitycars,10,0.006883084606
Polymers,Rubber (GREET),kg,HVAC (GREET),5.023657798,interior,Rubber,Utilitycars,3.1,0.002133756228
Polymers,Extruded rubber (MUSES),kg,HVAC (GREET),1.458481296,interior,Rubber,Utilitycars,0.9,0.0006194776145
Other,Other,kg,HVAC (GREET),0.2263991603,interior,Other,Utilitycars,0.13970645,0.00009616113153
Non-ferrous metals,Copper,kg,Interior electrical (GREET),6.630261121,interior,Copper,Utilitycars,4.091403177,0.002816147422
Polymers,Other plastic (GREET),kg,Interior electrical (GREET),9.541107468,interior,Plastic,Utilitycars,5.887628963,0.004052504828
Ferous metals,Steel (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),8.085684295,interior,Steel,Utilitycars,4.98951607,0.003434326125
Polymers,Other plastic (GREET),kg,Weld blanks and fasteners (interior to body) (GREET),8.085684295,interior,Plastic,Utilitycars,4.98951607,0.003434326125
Polymers,"Nylon 6, 10% Glass fiber, 20% Minerals (PA6-(GF10+MX20))",kg,Engine Finisher,2.092110393,interior,Nylon,Utilitycars,1.291,0.0008886062226
Polymers,High density polyethylene (PE-HD),kg,Wash Fluid Tank,0.9950083509,interior,Polyethylene,Utilitycars,0.614,0.0004226213948
Polymers,"Nylon 66, 25% Glass fiber (PA66-GF25)",kg,Steering Oil Tank,0.3613792545,interior,Nylon,Utilitycars,0.223,0.0001534927867
Polymers,Polypropylene ether (PE),kg,Brake Fluid Tank,0.1020936907,interior,Polypropylene,Utilitycars,0.063,0.00004336343301
Polymers,Polypropylene (PP),kg,Brake Fluid Tank,0.1020936907,interior,Polypropylene,Utilitycars,0.063,0.00004336343301
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Wheel Arc Finisher,2.537757455,interior,Polypropylene,Utilitycars,1.566,0.001077891049
Polymers,Polypropylene (PP),kg,Load Space Finishers (2),2.745185906,interior,Polypropylene,Utilitycars,1.694,0.001165994532
Polymers,Polypropylene ether (PE),kg,Latch Finisher,0.5104684537,interior,Polypropylene,Utilitycars,0.315,0.0002168171651
Polymers,Polypropylene (PP),kg,Latch Finisher,0.5104684537,interior,Polypropylene,Utilitycars,0.315,0.0002168171651
Polymers,Polypropylene ether (PE),kg,Tool Box,0.2495623551,interior,Polypropylene,Utilitycars,0.154,0.0001059995029
Ferous metals,Steel,kg,"Brakes, hardware",17.16891123,brakes,Steel,Utilitycars,10.594596,0.007292350063
Ferous metals,Cast iron,kg,"Brakes, hardware",29.43241925,brakes,Iron,Utilitycars,18.16216457,0.01250117154
Friction Materials,Barium Sulfate,kg,"Brakes, friction material",2.14E-08,brakes,Barium sulphate,Utilitycars,1.32E-08,9.09E-12
Friction Materials,Brass,kg,"Brakes, friction material",2.14E-09,brakes,Brass,Utilitycars,1.32E-09,9.09E-13
Friction Materials,Aluminum Oxide,kg,"Brakes, friction material",2.14E-08,brakes,Aluminium,Utilitycars,1.32E-08,9.09E-12
Friction Materials,Fibrous Glass,kg,"Brakes, friction material",2.14E-08,brakes,Glassfibre,Utilitycars,1.32E-08,9.09E-12
Friction Materials,Phenol Formaldehyde Resin,kg,"Brakes, friction material",1.07E-08,brakes,Resin,Utilitycars,6.60E-09,4.54E-12
Friction Materials,Silica sand,kg,"Brakes, friction material",1.226350765,brakes,Silica,Utilitycars,0.756756834,0.0005208821314
Friction Materials,Ceramic,kg,"Brakes, friction material",2.452701528,brakes,Ceramic,Utilitycars,1.513513667,0.001041764262
Ferous metals,Steel,kg,Cradle,48.51410577,chassis,Steel,Utilitycars,29.93709642,0.02060595675
Ferous metals,Steel,kg,Driveshaft/axle,119.81514,chassis,Steel,Utilitycars,73.93555631,0.05089046894
Ferous metals,Steel,kg,Corner suspension,66.15559877,chassis,Steel,Utilitycars,40.8233133,0.02809903193
Ferous metals,Steel,kg,Steering system,28.81443857,chassis,Steel,Utilitycars,17.7808209,0.01223868946
Non-ferrous metals,Wrought Aluminium,kg,Steering system,5.402707234,chassis,Aluminium,Utilitycars,3.33390392,0.002294754275
Polymers,Rubber,kg,Steering system,1.800902412,chassis,Rubber,Utilitycars,1.111301307,0.0007649180918
Non-ferrous metals,Copper,kg,Chassis electrical,6.630261121,chassis,Copper,Utilitycars,4.091403177,0.002816147422
Polymers,Plastic,kg,Chassis electrical,9.541107468,chassis,Plastic,Utilitycars,5.887628963,0.004052504828
Ferous metals,Steel,kg,Weld blanks and fasteners (chassis to body),16.17136859,chassis,Steel,Utilitycars,9.97903214,0.00686865225
Ferous metals,galv steel,kg,Body-in-white,342.2874608,doors,Steel,Utilitycars,211.2188312,0.1453837085
Scrap,"Scrap, galv steel",kg,Body-in-white,71.91679321,doors,Steel,Utilitycars,44.37843259,0.03054605062
Ferous metals,Rolled steel,kg,Body panels,30.98029879,doors,Steel,Utilitycars,19.11733046,0.0131586203
Ferous metals,EAF steel,kg,Body panels,16.71840904,doors,Steel,Utilitycars,10.3166,0.007101003064
Ferous metals,galv steel,kg,Body panels,7.418970247,doors,Steel,Utilitycars,4.5781,0.003151144963
Ferous metals,hot rolled steel,kg,Body panels,54.21552289,doors,Steel,Utilitycars,33.45532831,0.02302758553
Scrap,"Scrap, Rolled steel",kg,Body panels,6.50915969,doors,Steel,Utilitycars,4.016673876,0.002764710612
Scrap,"Scrap, EAF steel",kg,Body panels,3.512645083,doors,Steel,Utilitycars,2.167583899,0.001491966337
Scrap,"Scrap, galv steel",kg,Body panels,1.558773283,doors,Steel,Utilitycars,0.961888204,0.0006620757889
Scrap,"Scrap, hot rolled steel",kg,Body panels,11.39102946,doors,Steel,Utilitycars,7.029179283,0.004838243571
Ferous metals,galv steel,kg,Bumpers,13.66665037,doors,Steel,Utilitycars,8.43342,0.005804794337
Scrap,"Scrap, galv steel",kg,Bumpers,2.871450991,doors,Steel,Utilitycars,1.77191569,0.001219624561
Ferous metals,EAF steel,kg,Body hardware,0.595254833,doors,Steel,Utilitycars,0.36732,0.0002528294637
Ferous metals,stainless steel,kg,Body hardware,0.129084579,doors,Steel,Utilitycars,0.079655544,0.00005482758487
Non-ferrous metals,Copper,kg,Body hardware,0.3234273721,doors,Copper,Utilitycars,0.199580643,0.0001373730451
Glass,Glass,kg,Body hardware,0.09702821179,doors,Glass,Utilitycars,0.059874193,0.00004121191361
Polymers,Plastic,kg,Body hardware,9.967398813,doors,Plastic,Utilitycars,6.150684932,0.004233568477
Polymers,Rubber,kg,Body hardware,0.3719414772,doors,Rubber,Utilitycars,0.229517739,0.0001579790016
Scrap,"Scrap, EAF steel",kg,Body hardware,0.1250668616,doors,Steel,Utilitycars,0.07717629,0.00005312109336
Scrap,"Scrap, stainless steel",kg,Body hardware,0.02712149847,doors,Steel,Utilitycars,0.016736141,0.00001151962745
Scrap,"Scrap, glass",kg,Body hardware,0.005106747477,doors,Glass,Utilitycars,0.003151273,0.000002169047867
Ferous metals,EAF steel,kg,Weld blanks and fasteners (electronics to body),6.833324987,doors,Steel,Utilitycars,4.216709878,0.002902397085
Polymers,Plastic,kg,Weld blanks and fasteners (electronics to body),5.549776621,doors,Plastic,Utilitycars,3.424657534,0.002357220755
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (electronics to body),1.435725454,doors,Steel,Utilitycars,0.885957819,0.0006098122625
Ferous metals,EAF steel,kg,Weld blanks and fasteners (other systems to body),6.833324987,doors,Steel,Utilitycars,4.216709878,0.002902397085
Polymers,Plastic,kg,Weld blanks and fasteners (other systems to body),5.549776621,doors,Plastic,Utilitycars,3.424657534,0.002357220755
Scrap,"Scrap, EAF steel",kg,Weld blanks and fasteners (other systems to body),1.435725454,doors,Steel,Utilitycars,0.885957819,0.0006098122625
Ferous metals,galv steel,kg,"Doors, including trunk lid",150.7097339,doors,Steel,Utilitycars,93,0.06401268683
Glass,Glass,kg,"Doors, including trunk lid",0.1212852643,doors,Glass,Utilitycars,0.074842741,0.00005151489184
Polymers,Plastic,kg,"Doors, including trunk lid",19.44641728,doors,Plastic,Utilitycars,12,0.008259701527
Scrap,"Scrap, galv steel",kg,"Doors, including trunk lid",31.66508275,doors,Steel,Utilitycars,19.53989712,0.01344947651
Scrap,"Scrap, glass",kg,"Doors, including trunk lid",0.006383435562,doors,Glass,Utilitycars,0.003939092,0.00000271131035
Glass,Glass,kg,Windscreen glass,18.79820337,doors,Glass,Utilitycars,11.6,0.007984378142
Scrap,"Scrap, glass",kg,Windscreen glass,0.9893791252,doors,Glass,Utilitycars,0.610526316,0.0004202304287
Glass,Glass,kg,Rear screen glass,7.405843915,doors,Glass,Utilitycars,4.57,0.003145569665
Scrap,"Scrap, glass",kg,Rear screen glass,0.389781259,doors,Glass,Utilitycars,0.240526316,0.0001655562983
Glass,Glass,kg,Side body glass (6),20.30530071,doors,Glass,Utilitycars,12.53,0.008624505011
Scrap,"Scrap, glass",kg,Side body glass (6),1.068700037,doors,Glass,Utilitycars,0.659473684,0.0004539213162
polymers,Rubber,kg,Tires (x4),29.34020853,wheels,Rubber,Utilitycars,18.10526316,0.01246200581
Other,Graphite,kg,Tires (x4),13.49649592,wheels,Graphite,Utilitycars,8.328421053,0.005732522674
Ferrous metals,Steel (tires),kg,Tires (x4),9.19326534,wheels,Steel,Utilitycars,5.672982456,0.003904761821
Textiles,Textiles,kg,Tires (x4),3.129622243,wheels,Textile,Utilitycars,1.93122807,0.00132928062
Non-ferrous metals,Zinc oxide,kg,Tires (x4),0.5868041704,wheels,Zinc,Utilitycars,0.362105263,0.0002492401161
Other,Sulphur,kg,Tires (x4),0.5868041704,wheels,Sulphur,Utilitycars,0.362105263,0.0002492401161
Other,Additives,kg,Tires (x4),4.890034756,wheels,Other,Utilitycars,3.01754386,0.002077000969
Ferrous metals,Steel (wheels),kg,Wheels (x4),66.890668,wheels,Steel,Utilitycars,41.27691,0.02841124638
Non-ferrous metals,Lead,kg,Wheels (x4),0.4861604321,wheels,Lead,Utilitycars,0.3,0.0002064925382
