Flowid,Ecoinvent Flow,Partmass,Unit,Part,Material,Unitmass
[G4640],brass_market for brass[CH],0.0000805,kilogram,Charger,Brass,0.0008473332724
[G5605],aluminium oxide_market for aluminium oxide[GLO],0.000977,kilogram,Charger,Aluminium,0.01028378394
[G5735],"resistor, auxilliaries and energy use_market for resistor, auxilliaries and energy use[GLO]",0.000968,kilogram,Charger,,
[G5949],copper_market for copper[GLO],0.117,kilogram,Charger,Copper,1.231527862
[G9173],"aluminium, wrought alloy_market for aluminium, wrought alloy[GLO]",0.615,kilogram,Charger,Aluminium,6.473415683
[G9542],silicone product_market for silicone product[GLO],0.000652,kilogram,Charger,Silicone,0.006862873212
[G10037],ferrite_market for ferrite[GLO],0.123,kilogram,Charger,Ferrite,1.294683137
[G10871],"printed wiring board, surface mounted, unspecified, Pb free_market for printed wiring board, surface mounted, unspecified, Pb free[GLO]",0.083068,kilogram,Charger,,
[G12999],"steel, chromium steel 18/8, hot rolled_market for steel, chromium steel 18/8, hot rolled[GLO]",0.0383,kilogram,Charger,Steel,0.4031411718
[G13750],"capacitor, film type, for through-hole mounting_market for capacitor, film type, for through-hole mounting[GLO]",0.0556,kilogram,Charger,,
[G13883],"polyester resin, unsaturated_market for polyester resin, unsaturated[GLO]",0.0271,kilogram,Charger,Polyester,0.2852513252
[G14870],"polystyrene, high impact_market for polystyrene, high impact[GLO]",0.0144,kilogram,Charger,Polystyrene,0.1515726599
[G110],brass_market for brass[RoW],0.00357,kilogram,EV electric motor,Brass,0.3213279931
[G330],"steel, low-alloyed, hot rolled_market for steel, low-alloyed, hot rolled[GLO]",0.676,kilogram,EV electric motor,Steel,60.84530065
[G4640],brass_market for brass[CH],0.0000179,kilogram,EV electric motor,Brass,0.001611140357
[G5605],aluminium oxide_market for aluminium oxide[GLO],0.00326,kilogram,EV electric motor,Aluminium,0.2934255623
[G5735],"resistor, auxilliaries and energy use_market for resistor, auxilliaries and energy use[GLO]",0.00323,kilogram,EV electric motor,,
[G5949],copper_market for copper[GLO],0.135,kilogram,EV electric motor,Copper,12.15105856
[G6207],nylon 6_market for nylon 6[GLO],0.00476,kilogram,EV electric motor,Nylon,0.4284373241
[G9173],"aluminium, wrought alloy_market for aluminium, wrought alloy[GLO]",0.242,kilogram,EV electric motor,Aluminium,21.78189757
[G10041],"permanent magnet, for electric motor_market for permanent magnet, electric passenger car motor[GLO]",0.0374,kilogram,EV electric motor,,
[G10871],"printed wiring board, surface mounted, unspecified, Pb free_market for printed wiring board, surface mounted, unspecified, Pb free[GLO]",0.003985,kilogram,EV electric motor,,
[G12999],"steel, chromium steel 18/8, hot rolled_market for steel, chromium steel 18/8, hot rolled[GLO]",0.121,kilogram,EV electric motor,Steel,10.89094879
