Material Group,Material,Unitmass,Vehicle,Class,Source,Flowid,Ecoinvent Flow,Eimass,Unit,Part
Ferrous metals,Chromium steel,8.3460E-04,lorry40t,Utilitycars,Ecoinvent,[G12999],"steel, chromium steel 18/8, hot rolled_market for steel, chromium steel 18/8, hot rolled[GLO]",12.8,kilogram,Lorry
Composites,Glass,7.4984E-03,lorry40t,Utilitycars,Ecoinvent,[G14716],"flat glass, uncoated_market for flat glass, uncoated[GLO]",115,kilogram,Lorry
Nonferrous metals,Aluminium,2.8602E-05,lorry40t,Utilitycars,Ecoinvent,-,Aluminium,0.00571165911,kilogram,Electronics
Minerals,Barite,2.3236E-05,lorry40t,Utilitycars,Ecoinvent,-,Barite,0.004640057609,kilogram,Electronics
Nonferrous metals,Brass,5.7612E-06,lorry40t,Utilitycars,Ecoinvent,-,Brass,0.001150474844,kilogram,Electronics
Ferrous metals,Chromium,3.4648E-08,lorry40t,Utilitycars,Ecoinvent,-,Chromium,0.000006919098143,kilogram,Electronics
Composites,Composites,7.2844E-05,lorry40t,Utilitycars,Ecoinvent,-,Composites,0.01454668435,kilogram,Electronics
Nonferrous metals,Copper,1.6401E-04,lorry40t,Utilitycars,Ecoinvent,-,Copper,0.03275191158,kilogram,Electronics
Composites,Glass,2.0868E-06,lorry40t,Utilitycars,Ecoinvent,-,Glass,0.0004167149725,kilogram,Electronics
Nonferrous metals,Gold,2.7303E-06,lorry40t,Utilitycars,Ecoinvent,-,Gold,0.000545229443,kilogram,Electronics
Ferrous metals,Iron,1.6539E-06,lorry40t,Utilitycars,Ecoinvent,-,Iron,0.0003302690618,kilogram,Electronics
Nonferrous metals,Lead,9.3353E-06,lorry40t,Utilitycars,Ecoinvent,-,Lead,0.001864211931,kilogram,Electronics
Nonferrous metals,Molybdenum,9.0097E-07,lorry40t,Utilitycars,Ecoinvent,-,Molybdenum,0.0001799204244,kilogram,Electronics
Nonferrous metals,Nickel,7.4053E-06,lorry40t,Utilitycars,Ecoinvent,-,Nickel,0.001478797866,kilogram,Electronics
Polymers,Nylon,2.0486E-05,lorry40t,Utilitycars,Ecoinvent,-,Nylon,0.004090981432,kilogram,Electronics
"Critical Raw Materials, CRM",Palladium,9.2758E-08,lorry40t,Utilitycars,Ecoinvent,-,Palladium,0.00001852335219,kilogram,Electronics
Polymers,Polyethylene,1.7281E-03,lorry40t,Utilitycars,Ecoinvent,-,Polyethylene,0.345094,kilogram,Electronics
Polymers,Polyvinylchloride,1.4585E-04,lorry40t,Utilitycars,Ecoinvent,-,Polyvinylchloride,0.02912535,kilogram,Electronics
Minerals,Selenium,2.4838E-05,lorry40t,Utilitycars,Ecoinvent,-,Selenium,0.00496,kilogram,Electronics
Minerals,Silica,1.1475E-04,lorry40t,Utilitycars,Ecoinvent,-,Silica,0.02291493916,kilogram,Electronics
Minerals,Silicon,1.0516E-07,lorry40t,Utilitycars,Ecoinvent,-,Silicon,0.00002100062507,kilogram,Electronics
Nonferrous metals,Silver,3.2589E-06,lorry40t,Utilitycars,Ecoinvent,-,Silver,0.0006507853014,kilogram,Electronics
Ferrous metals,Steel,4.6070E-03,lorry40t,Utilitycars,Ecoinvent,-,Steel,0.92,kilogram,Electronics
"Critical Raw Materials, CRM",Tin,1.6818E-05,lorry40t,Utilitycars,Ecoinvent,-,Tin,0.003358535436,kilogram,Electronics
Nonferrous metals,Titanium,1.1973E-05,lorry40t,Utilitycars,Ecoinvent,-,Titanium,0.002391008194,kilogram,Electronics
Nonferrous metals,Zinc,1.7372E-06,lorry40t,Utilitycars,Ecoinvent,-,Zinc,0.0003469177719,kilogram,Electronics
