Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Ferrous metals,"Iron, cast",6.8639E-02,icev,Cars,Powertrain,Engine,50%
Nonferrous metals,"Aluminium, cast alloy",4.1184E-02,icev,Cars,Powertrain,Engine,30%
Ferrous metals,Steel,1.3728E-02,icev,Cars,Powertrain,Engine,10%
Polymers,Plastic,6.1775E-03,icev,Cars,Powertrain,Engine,4.5%
Polymers,Rubber,6.1775E-03,icev,Cars,Powertrain,Engine,4.5%
Nonferrous metals,Copper,1.3728E-03,icev,Cars,Powertrain,Engine,1%
Material Group,,0.0000E+00,icev,Cars,Powertrain,Engine,
Composites,Carbon Fiber Composite,0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,62.8%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,23.2%
Polymers,Perfluorosulfonic Acid,0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,5.4%
Minerals,Carbon Paper,0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,5.0%
Ferrous metals,Steel,0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,1.5%
Polymers,Polytetrafluoroethylene,0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,1.4%
Polymers,Carbon/Perfluorosulfonic Acid Suspension,0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,0.6%
"Critical Raw Materials, CRM",Platinum,0.0000E+00,icev,Cars,Powertrain,Fuel cell stack,0.1%
Ferrous metals,Steel,3.6303E-02,icev,Cars,Powertrain,Engine fuel storage system,100%
Ferrous metals,Steel,8.0842E-03,icev,Cars,Powertrain,Powertrain thermal,50%
Polymers,Plastic,8.0842E-03,icev,Cars,Powertrain,Powertrain thermal,50%
Ferrous metals,Steel,3.0197E-02,icev,Cars,Powertrain,Exhaust,99.985%
"Critical Raw Materials, CRM",Platinum,4.5302E-06,icev,Cars,Powertrain,Exhaust,0.015%
Polymers,Plastic,3.9597E-03,icev,Cars,Powertrain,Powertrain electrical,59%
Nonferrous metals,Copper,2.7517E-03,icev,Cars,Powertrain,Powertrain electrical,41%
Polymers,Plastic,3.9597E-03,icev,Cars,Powertrain,Emission control electronics,59%
Nonferrous metals,Copper,2.7517E-03,icev,Cars,Powertrain,Emission control electronics,41%
Ferrous metals,Steel,6.7114E-03,icev,Cars,Powertrain,Weld blanks and fasteners (powertrain to body),100%
Ferrous metals,Steel,1.7663E-02,icev,Cars,Powertrain,Transmission (ICEV),30%
Nonferrous metals,"Aluminium, wrought alloy",1.7663E-02,icev,Cars,Powertrain,Transmission (ICEV),30%
Ferrous metals,"Iron, cast",1.7663E-02,icev,Cars,Powertrain,Transmission (ICEV),30%
Polymers,Plastic,2.9439E-03,icev,Cars,Powertrain,Transmission (ICEV),5%
Polymers,Rubber,2.9439E-03,icev,Cars,Powertrain,Transmission (ICEV),5%
Ferrous metals,Steel,0.0000E+00,icev,Cars,Powertrain,Transmission (HEV/FCV),60.5%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,icev,Cars,Powertrain,Transmission (HEV/FCV),20%
Nonferrous metals,Copper,0.0000E+00,icev,Cars,Powertrain,Transmission (HEV/FCV),19%
Organic,Organic,0.0000E+00,icev,Cars,Powertrain,Transmission (HEV/FCV),0.3%
Polymers,Plastic,0.0000E+00,icev,Cars,Powertrain,Transmission (HEV/FCV),0.2%
Ferrous metals,Steel,2.0134E-02,icev,Cars,Chassis,Cradle,100%
Ferrous metals,Steel,4.9725E-02,icev,Cars,Chassis,Driveshaft/axle,100%
Ferrous metals,Steel,1.6779E-02,icev,Cars,Chassis,Differential,100%
Ferrous metals,Steel,2.7456E-02,icev,Cars,Chassis,Corner suspension,100%
Ferrous metals,Iron,1.5375E-02,icev,Cars,Chassis,Braking system,60%
Ferrous metals,Steel,8.9689E-03,icev,Cars,Chassis,Braking system,35%
Ceramics,Friction Material,1.2813E-03,icev,Cars,Chassis,Braking system,5%
Ferrous metals,Steel,2.7761E-02,icev,Cars,Chassis,Wheels,100%
Polymers,Rubber,1.8395E-02,icev,Cars,Chassis,Tires,67%
Ferrous metals,Steel,9.0604E-03,icev,Cars,Chassis,Tires,33%
Ferrous metals,Steel,1.1959E-02,icev,Cars,Chassis,Steering system,80%
Nonferrous metals,"Aluminium, wrought alloy",2.2422E-03,icev,Cars,Chassis,Steering system,15%
Polymers,Rubber,7.4741E-04,icev,Cars,Chassis,Steering system,5%
Polymers,Plastic,3.9597E-03,icev,Cars,Chassis,Chassis electrical,59%
Nonferrous metals,Copper,2.7517E-03,icev,Cars,Chassis,Chassis electrical,41%
Ferrous metals,Steel,6.7114E-03,icev,Cars,Chassis,Weld blanks and fasteners (chassis to body),100%
Ferrous metals,Steel,6.7178E-03,icev,Cars,Chassis,Generator,36.1%
Nonferrous metals,"Aluminium, cast alloy",6.7178E-03,icev,Cars,Chassis,Generator,36.1%
Nonferrous metals,Copper,5.0802E-03,icev,Cars,Chassis,Generator,27.3%
Ferrous metals,Steel,6.7178E-03,icev,Cars,Chassis,Motor,36.1%
Nonferrous metals,"Aluminium, cast alloy",6.7178E-03,icev,Cars,Chassis,Motor,36.1%
Nonferrous metals,Copper,5.0802E-03,icev,Cars,Chassis,Motor,27.3%
Ferrous metals,Steel,8.2367E-04,icev,Cars,Chassis,Controller/inverter,5.0%
Nonferrous metals,"Aluminium, cast alloy",7.7425E-03,icev,Cars,Chassis,Controller/inverter,47.0%
