Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Polymers,Plastic,9.0580E-03,evan,Utilitycars,Chassis,Controller/inverter,23.8%
Organic,Organic,4.6812E-03,evan,Utilitycars,Chassis,Controller/inverter,12.3%
"Metals, ferrous",Steel,0.0000E+00,evan,Utilitycars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),36.8%
Composites,Carbon Fiber Composite,0.0000E+00,evan,Utilitycars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),25.7%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,evan,Utilitycars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),16.7%
Copper,Copper,0.0000E+00,evan,Utilitycars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),9.6%
Polymers,Plastic,0.0000E+00,evan,Utilitycars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),8.7%
Polymers,Rubber,0.0000E+00,evan,Utilitycars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),1.5%
"Metals, other nonferrous",Lead,3.8774E-03,evan,Utilitycars,Battery,Pb-Ac Battery,69%
Organic,Water,7.9234E-04,evan,Utilitycars,Battery,Pb-Ac Battery,14.1%
Chemicals,Sulfuric Acid,4.4393E-04,evan,Utilitycars,Battery,Pb-Ac Battery,7.9%
Polymers,Plastic,3.4278E-04,evan,Utilitycars,Battery,Pb-Ac Battery,6.1%
Composites,Fiberglass,1.1801E-04,evan,Utilitycars,Battery,Pb-Ac Battery,2.1%
Unknown,Other,4.4955E-05,evan,Utilitycars,Battery,Pb-Ac Battery,0.8%
"Metals, other nonferrous",Nickel,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,28.2%
"Metals, ferrous",Steel,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,23.7%
Polymers,Plastic,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,22.5%
"Metals, ferrous",Iron,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,12%
"Critical Raw Materials, CRM",Rare Earth Metals,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,6.3%
