"TIME";"GEO";"VESSEL";"UNIT";"WEIGHT";"Value";"Flag and Footnotes"
"2004";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2004";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2004";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2004";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2004";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2004";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2005";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2005";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2005";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2005";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2005";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2005";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2005";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2005";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2005";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2006";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2006";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2006";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2006";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2006";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2006";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2006";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2006";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2006";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2006";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2006";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2006";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
