"Onderwerp";"Voertuigtype";"Perioden";"Eenheid";"Waarde"
"Benzine";"Bus";"2018";"aantal";"19"
"Benzine";"Bus";"2019";"aantal";"24"
"Benzine";"Aanhangwagen";"2000";"aantal";""
"Benzine";"Aanhangwagen";"2001";"aantal";""
"Benzine";"Aanhangwagen";"2002";"aantal";""
"Benzine";"Aanhangwagen";"2003";"aantal";""
"Benzine";"Aanhangwagen";"2004";"aantal";""
"Benzine";"Aanhangwagen";"2005";"aantal";""
"Benzine";"Aanhangwagen";"2006";"aantal";""
"Benzine";"Aanhangwagen";"2007";"aantal";""
"Benzine";"Aanhangwagen";"2008";"aantal";""
"Benzine";"Aanhangwagen";"2009";"aantal";""
"Benzine";"Aanhangwagen";"2010";"aantal";""
"Benzine";"Aanhangwagen";"2011";"aantal";""
"Benzine";"Aanhangwagen";"2012";"aantal";""
"Benzine";"Aanhangwagen";"2013";"aantal";""
"Benzine";"Aanhangwagen";"2014";"aantal";""
"Benzine";"Aanhangwagen";"2015";"aantal";""
"Benzine";"Aanhangwagen";"2016";"aantal";""
"Benzine";"Aanhangwagen";"2017";"aantal";""
"Benzine";"Aanhangwagen";"2018";"aantal";""
"Benzine";"Aanhangwagen";"2019";"aantal";""
"Benzine";"Oplegger";"2000";"aantal";""
"Benzine";"Oplegger";"2001";"aantal";""
"Benzine";"Oplegger";"2002";"aantal";""
"Benzine";"Oplegger";"2003";"aantal";""
"Benzine";"Oplegger";"2004";"aantal";""
"Benzine";"Oplegger";"2005";"aantal";""
"Benzine";"Oplegger";"2006";"aantal";""
"Benzine";"Oplegger";"2007";"aantal";""
"Benzine";"Oplegger";"2008";"aantal";""
"Benzine";"Oplegger";"2009";"aantal";""
"Benzine";"Oplegger";"2010";"aantal";""
"Benzine";"Oplegger";"2011";"aantal";""
"Benzine";"Oplegger";"2012";"aantal";""
"Benzine";"Oplegger";"2013";"aantal";""
"Benzine";"Oplegger";"2014";"aantal";""
"Benzine";"Oplegger";"2015";"aantal";""
"Benzine";"Oplegger";"2016";"aantal";""
"Benzine";"Oplegger";"2017";"aantal";""
"Benzine";"Oplegger";"2018";"aantal";""
"Benzine";"Oplegger";"2019";"aantal";""
"Diesel";"Totaal bedrijfsvoertuigen";"2000";"aantal";"769277"
"Diesel";"Totaal bedrijfsvoertuigen";"2001";"aantal";"843632"
"Diesel";"Totaal bedrijfsvoertuigen";"2002";"aantal";"898388"
"Diesel";"Totaal bedrijfsvoertuigen";"2003";"aantal";"946339"
"Diesel";"Totaal bedrijfsvoertuigen";"2004";"aantal";"984793"
"Diesel";"Totaal bedrijfsvoertuigen";"2005";"aantal";"1019314"
"Diesel";"Totaal bedrijfsvoertuigen";"2006";"aantal";"999627"
"Diesel";"Totaal bedrijfsvoertuigen";"2007";"aantal";"999791"
"Diesel";"Totaal bedrijfsvoertuigen";"2008";"aantal";"1021497"
"Diesel";"Totaal bedrijfsvoertuigen";"2009";"aantal";"1042512"
"Diesel";"Totaal bedrijfsvoertuigen";"2010";"aantal";"1036939"
"Diesel";"Totaal bedrijfsvoertuigen";"2011";"aantal";"1024651"
"Diesel";"Totaal bedrijfsvoertuigen";"2012";"aantal";"1011848"
"Diesel";"Totaal bedrijfsvoertuigen";"2013";"aantal";"990377"
"Diesel";"Totaal bedrijfsvoertuigen";"2014";"aantal";"971859"
"Diesel";"Totaal bedrijfsvoertuigen";"2015";"aantal";"967682"
"Diesel";"Totaal bedrijfsvoertuigen";"2016";"aantal";"980549"
"Diesel";"Totaal bedrijfsvoertuigen";"2017";"aantal";"1005102"
"Diesel";"Totaal bedrijfsvoertuigen";"2018";"aantal";"1035854"
"Diesel";"Totaal bedrijfsvoertuigen";"2019";"aantal";"1066714"
"Diesel";"Bestelauto";"2000";"aantal";"588318"
"Diesel";"Bestelauto";"2001";"aantal";"655727"
"Diesel";"Bestelauto";"2002";"aantal";"705434"
"Diesel";"Bestelauto";"2003";"aantal";"749961"
"Diesel";"Bestelauto";"2004";"aantal";"787644"
"Diesel";"Bestelauto";"2005";"aantal";"820775"
"Diesel";"Bestelauto";"2006";"aantal";"798560"
"Diesel";"Bestelauto";"2007";"aantal";"790911"
"Diesel";"Bestelauto";"2008";"aantal";"807912"
"Diesel";"Bestelauto";"2009";"aantal";"824101"
"Diesel";"Bestelauto";"2010";"aantal";"822294"
"Diesel";"Bestelauto";"2011";"aantal";"813116"
"Diesel";"Bestelauto";"2012";"aantal";"802863"
"Diesel";"Bestelauto";"2013";"aantal";"786387"
"Diesel";"Bestelauto";"2014";"aantal";"770792"
"Diesel";"Bestelauto";"2015";"aantal";"770286"
"Diesel";"Bestelauto";"2016";"aantal";"783345"
"Diesel";"Bestelauto";"2017";"aantal";"806254"
"Diesel";"Bestelauto";"2018";"aantal";"834324"
"Diesel";"Bestelauto";"2019";"aantal";"862505"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2000";"aantal";"82031"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2001";"aantal";"82309"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2002";"aantal";"81540"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2003";"aantal";"80454"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2004";"aantal";"78244"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2005";"aantal";"76403"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2006";"aantal";"74705"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2007";"aantal";"74669"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2008";"aantal";"74172"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2009";"aantal";"73902"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2010";"aantal";"72108"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2011";"aantal";"70094"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2012";"aantal";"68258"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2013";"aantal";"65754"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2014";"aantal";"63667"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2015";"aantal";"61915"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2016";"aantal";"60920"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2017";"aantal";"60660"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2018";"aantal";"61107"
"Diesel";"Vrachtauto (excl. trekker voor oplegger)";"2019";"aantal";"61488"
"Diesel";"Trekker voor oplegger";"2000";"aantal";"56729"
"Diesel";"Trekker voor oplegger";"2001";"aantal";"59764"
"Diesel";"Trekker voor oplegger";"2002";"aantal";"61974"
"Diesel";"Trekker voor oplegger";"2003";"aantal";"62847"
"Diesel";"Trekker voor oplegger";"2004";"aantal";"63403"
"Diesel";"Trekker voor oplegger";"2005";"aantal";"64470"
"Diesel";"Trekker voor oplegger";"2006";"aantal";"65561"
"Diesel";"Trekker voor oplegger";"2007";"aantal";"70504"
"Diesel";"Trekker voor oplegger";"2008";"aantal";"72748"
"Diesel";"Trekker voor oplegger";"2009";"aantal";"74579"
"Diesel";"Trekker voor oplegger";"2010";"aantal";"71511"
"Diesel";"Trekker voor oplegger";"2011";"aantal";"71269"
"Diesel";"Trekker voor oplegger";"2012";"aantal";"71409"
"Diesel";"Trekker voor oplegger";"2013";"aantal";"70271"
"Diesel";"Trekker voor oplegger";"2014";"aantal";"70828"
"Diesel";"Trekker voor oplegger";"2015";"aantal";"70258"
"Diesel";"Trekker voor oplegger";"2016";"aantal";"71902"
"Diesel";"Trekker voor oplegger";"2017";"aantal";"73794"
"Diesel";"Trekker voor oplegger";"2018";"aantal";"76594"
"Diesel";"Trekker voor oplegger";"2019";"aantal";"79475"
"Diesel";"Speciaal voertuig";"2000";"aantal";"31225"
"Diesel";"Speciaal voertuig";"2001";"aantal";"34720"
"Diesel";"Speciaal voertuig";"2002";"aantal";"38355"
"Diesel";"Speciaal voertuig";"2003";"aantal";"41924"
"Diesel";"Speciaal voertuig";"2004";"aantal";"44374"
"Diesel";"Speciaal voertuig";"2005";"aantal";"46642"
"Diesel";"Speciaal voertuig";"2006";"aantal";"50047"
