"TIME";"REP_MAR";"VESSEL";"UNIT";"Value";"Flag and Footnotes"
"2000";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"10.0";""
"2000";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for number of vessels";"-0.9";""
"2000";"Netherlands";"Specialised carrier";"Number";"125";""
"2000";"Netherlands";"Specialised carrier";"Gross tonnage (GT) in thousand";"1 725";""
"2000";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"6.1";""
"2000";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for number of vessels";"10.6";""
"2000";"Netherlands";"General cargo; non-specialised";"Number";"24 173";""
"2000";"Netherlands";"General cargo; non-specialised";"Gross tonnage (GT) in thousand";"205 368";""
"2000";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"3.6";""
"2000";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for number of vessels";"-3.6";""
"2000";"Netherlands";"Dry cargo barge";"Number";":";""
"2000";"Netherlands";"Dry cargo barge";"Gross tonnage (GT) in thousand";":";""
"2000";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"2000";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"2000";"Netherlands";"Cruise ship";"Number";":";""
"2000";"Netherlands";"Cruise ship";"Gross tonnage (GT) in thousand";":";""
"2000";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"2000";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"2000";"Netherlands";"Passenger ship (excluding cruise ship)";"Number";"115";""
"2000";"Netherlands";"Passenger ship (excluding cruise ship)";"Gross tonnage (GT) in thousand";"2 964";""
"2000";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-41.1";""
"2000";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for number of vessels";"-50.0";""
"2000";"Netherlands";"Fishing vessel";"Number";"54";""
"2000";"Netherlands";"Fishing vessel";"Gross tonnage (GT) in thousand";"117";""
"2000";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"329.1";""
"2000";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for number of vessels";"80.0";""
"2000";"Netherlands";"Offshore activities vessel";"Number";"1 923";""
"2000";"Netherlands";"Offshore activities vessel";"Gross tonnage (GT) in thousand";"3 719";""
"2000";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"47.4";""
"2000";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for number of vessels";"35.1";""
"2000";"Netherlands";"Tug and pusher craft";"Number";"478";""
"2000";"Netherlands";"Tug and pusher craft";"Gross tonnage (GT) in thousand";"416";""
"2000";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-48.0";""
"2000";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for number of vessels";"-43.1";""
"2000";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Number";"1 299";""
"2000";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Gross tonnage (GT) in thousand";"5 045";""
"2000";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-1.1";""
"2000";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for number of vessels";"-6.7";""
"2000";"Netherlands";"Unknown";"Number";":";""
"2000";"Netherlands";"Unknown";"Gross tonnage (GT) in thousand";":";""
"2000";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"2000";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"2001";"Netherlands";"Total";"Number";"45 920";""
"2001";"Netherlands";"Total";"Gross tonnage (GT) in thousand";"620 768";""
"2001";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"2.1";""
"2001";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for number of vessels";"-0.3";""
"2001";"Netherlands";"Liquid bulk tanker";"Number";"9 518";""
"2001";"Netherlands";"Liquid bulk tanker";"Gross tonnage (GT) in thousand";"126 293";""
"2001";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"0.2";""
"2001";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for number of vessels";"-1.6";""
"2001";"Netherlands";"Dry bulk carrier";"Number";"2 634";""
"2001";"Netherlands";"Dry bulk carrier";"Gross tonnage (GT) in thousand";"99 765";""
"2001";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-0.3";""
"2001";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for number of vessels";"-4.3";""
"2001";"Netherlands";"Container ship";"Number";"4 999";""
"2001";"Netherlands";"Container ship";"Gross tonnage (GT) in thousand";"159 819";""
"2001";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-1.5";""
"2001";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for number of vessels";"-8.4";""
"2001";"Netherlands";"Specialised carrier";"Number";"119";""
"2001";"Netherlands";"Specialised carrier";"Gross tonnage (GT) in thousand";"1 534";""
"2001";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-11.1";""
"2001";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for number of vessels";"-4.8";""
"2001";"Netherlands";"General cargo; non-specialised";"Number";"24 558";""
"2001";"Netherlands";"General cargo; non-specialised";"Gross tonnage (GT) in thousand";"221 508";""
"2001";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"7.9";""
"2001";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for number of vessels";"1.6";""
"2001";"Netherlands";"Dry cargo barge";"Number";":";""
"2001";"Netherlands";"Dry cargo barge";"Gross tonnage (GT) in thousand";":";""
"2001";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"2001";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"2001";"Netherlands";"Cruise ship";"Number";":";""
"2001";"Netherlands";"Cruise ship";"Gross tonnage (GT) in thousand";":";""
"2001";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"2001";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"2001";"Netherlands";"Passenger ship (excluding cruise ship)";"Number";"90";""
"2001";"Netherlands";"Passenger ship (excluding cruise ship)";"Gross tonnage (GT) in thousand";"2 825";""
"2001";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-4.7";""
"2001";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for number of vessels";"-21.7";""
"2001";"Netherlands";"Fishing vessel";"Number";"37";""
"2001";"Netherlands";"Fishing vessel";"Gross tonnage (GT) in thousand";"56";""
