"Perioden";"Voertuigtype";"Onderwerp";"";""
"2000";"Vrachtauto (excl. trekker voor oplegger)";"8000 - 8499 kg";"aantal";"4916"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"8500 - 8999 kg";"aantal";"5771"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"9000 - 9499 kg";"aantal";"4887"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"9500 - 9999 kg";"aantal";"3922"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"10 000 - 10 499 kg";"aantal";"3399"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"10 500 - 10 999 kg";"aantal";"3689"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"11 000 - 11 499 kg";"aantal";"3120"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"11 500 - 11 999 kg";"aantal";"2639"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"12 000 - 12 499 kg";"aantal";"2125"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"12 500 - 12 999 kg";"aantal";"1971"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"13 000 - 13 499 kg";"aantal";"1588"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"13 500 - 13 999 kg";"aantal";"1171"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"14 000 - 14 499 kg";"aantal";"921"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"14 500 - 14 999 kg";"aantal";"780"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"15 000 - 15 499 kg";"aantal";"667"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"15 500 - 15 999 kg";"aantal";"535"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"16 000 - 19 999 kg";"aantal";"2205"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"20 000 - 24 999 kg";"aantal";"305"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"25 000 - 29 999 kg";"aantal";"16"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"30 000 kg en meer";"aantal";"10"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"Leeggewicht onbekend";"aantal";"0"
"2000";"Trekker voor oplegger";"||Totaal";"aantal";"56759"
"2000";"Trekker voor oplegger";"Benzine";"aantal";"17"
"2000";"Trekker voor oplegger";"Diesel";"aantal";"56729"
"2000";"Trekker voor oplegger";"LPG";"aantal";"13"
"2000";"Trekker voor oplegger";"Elektriciteit";"aantal";"0"
"2000";"Trekker voor oplegger";"CNG";"aantal";"0"
"2000";"Trekker voor oplegger";"Geen/overige/onbekende brandstof";"aantal";"0"
"2000";"Trekker voor oplegger";"||Totaal";"aantal";"56759"
"2000";"Trekker voor oplegger";"< 500 kg";"aantal";"1"
"2000";"Trekker voor oplegger";"500 - 999 kg";"aantal";"7"
"2000";"Trekker voor oplegger";"1000 - 1499 kg";"aantal";"8"
"2000";"Trekker voor oplegger";"1500 - 1999 kg";"aantal";"170"
"2000";"Trekker voor oplegger";"2000 - 2499 kg";"aantal";"288"
"2000";"Trekker voor oplegger";"2500 - 2999 kg";"aantal";"65"
"2000";"Trekker voor oplegger";"3000 - 3499 kg";"aantal";"42"
"2000";"Trekker voor oplegger";"3500 - 3999 kg";"aantal";"43"
"2000";"Trekker voor oplegger";"4000 - 4499 kg";"aantal";"48"
"2000";"Trekker voor oplegger";"4500 - 4999 kg";"aantal";"162"
"2000";"Trekker voor oplegger";"5000 - 5499 kg";"aantal";"228"
"2000";"Trekker voor oplegger";"5500 - 5999 kg";"aantal";"1838"
"2000";"Trekker voor oplegger";"6000 - 6499 kg";"aantal";"4988"
"2000";"Trekker voor oplegger";"6500 - 6999 kg";"aantal";"17153"
"2000";"Trekker voor oplegger";"7000 - 7499 kg";"aantal";"22461"
"2000";"Trekker voor oplegger";"7500 - 7999 kg";"aantal";"5137"
"2000";"Trekker voor oplegger";"8000 - 8499 kg";"aantal";"2006"
"2000";"Trekker voor oplegger";"8500 - 8999 kg";"aantal";"599"
"2000";"Trekker voor oplegger";"9000 - 9499 kg";"aantal";"395"
"2000";"Trekker voor oplegger";"9500 - 9999 kg";"aantal";"266"
"2000";"Trekker voor oplegger";"10 000 - 10 499 kg";"aantal";"169"
"2000";"Trekker voor oplegger";"10 500 - 10 999 kg";"aantal";"122"
"2000";"Trekker voor oplegger";"11 000 - 11 499 kg";"aantal";"138"
