"Perioden";"Onderwerp";"Bouwjaren";"";""
"2000";"0-450 kg";"Bouwjaren 1990 tot 2000";"aantal";"386"
"2000";"0-450 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"0-450 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"451-550 kg";"Totaal alle bouwjaren";"aantal";"7855"
"2000";"451-550 kg";"Bouwjaren tot 1910";"aantal";"5"
"2000";"451-550 kg";"Bouwjaren 1910 tot 1920";"aantal";"2"
"2000";"451-550 kg";"Bouwjaren 1920 tot 1930";"aantal";"17"
"2000";"451-550 kg";"Bouwjaren 1930 tot 1940";"aantal";"51"
"2000";"451-550 kg";"Bouwjaren 1940 tot 1950";"aantal";"9"
"2000";"451-550 kg";"Bouwjaren 1950 tot 1960";"aantal";"173"
"2000";"451-550 kg";"Bouwjaren 1960 tot 1970";"aantal";"2615"
"2000";"451-550 kg";"Bouwjaren 1970 tot 1980";"aantal";"4423"
"2000";"451-550 kg";"Bouwjaren 1980 tot 1990";"aantal";"214"
"2000";"451-550 kg";"Bouwjaren 1990 tot 2000";"aantal";"346"
"2000";"451-550 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"451-550 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"551-650 kg";"Totaal alle bouwjaren";"aantal";"170269"
"2000";"551-650 kg";"Bouwjaren tot 1910";"aantal";"9"
"2000";"551-650 kg";"Bouwjaren 1910 tot 1920";"aantal";"10"
"2000";"551-650 kg";"Bouwjaren 1920 tot 1930";"aantal";"47"
"2000";"551-650 kg";"Bouwjaren 1930 tot 1940";"aantal";"64"
"2000";"551-650 kg";"Bouwjaren 1940 tot 1950";"aantal";"22"
"2000";"551-650 kg";"Bouwjaren 1950 tot 1960";"aantal";"395"
"2000";"551-650 kg";"Bouwjaren 1960 tot 1970";"aantal";"1364"
"2000";"551-650 kg";"Bouwjaren 1970 tot 1980";"aantal";"4469"
"2000";"551-650 kg";"Bouwjaren 1980 tot 1990";"aantal";"93708"
"2000";"551-650 kg";"Bouwjaren 1990 tot 2000";"aantal";"70181"
"2000";"551-650 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"551-650 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"651-750 kg";"Totaal alle bouwjaren";"aantal";"598472"
"2000";"651-750 kg";"Bouwjaren tot 1910";"aantal";"3"
"2000";"651-750 kg";"Bouwjaren 1910 tot 1920";"aantal";"20"
"2000";"651-750 kg";"Bouwjaren 1920 tot 1930";"aantal";"27"
"2000";"651-750 kg";"Bouwjaren 1930 tot 1940";"aantal";"121"
"2000";"651-750 kg";"Bouwjaren 1940 tot 1950";"aantal";"38"
"2000";"651-750 kg";"Bouwjaren 1950 tot 1960";"aantal";"494"
"2000";"651-750 kg";"Bouwjaren 1960 tot 1970";"aantal";"3270"
"2000";"651-750 kg";"Bouwjaren 1970 tot 1980";"aantal";"8917"
"2000";"651-750 kg";"Bouwjaren 1980 tot 1990";"aantal";"347111"
"2000";"651-750 kg";"Bouwjaren 1990 tot 2000";"aantal";"238471"
"2000";"651-750 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"651-750 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"751-850 kg";"Totaal alle bouwjaren";"aantal";"1011930"
"2000";"751-850 kg";"Bouwjaren tot 1910";"aantal";"8"
"2000";"751-850 kg";"Bouwjaren 1910 tot 1920";"aantal";"14"
"2000";"751-850 kg";"Bouwjaren 1920 tot 1930";"aantal";"68"
"2000";"751-850 kg";"Bouwjaren 1930 tot 1940";"aantal";"173"
"2000";"751-850 kg";"Bouwjaren 1940 tot 1950";"aantal";"155"
"2000";"751-850 kg";"Bouwjaren 1950 tot 1960";"aantal";"432"
"2000";"751-850 kg";"Bouwjaren 1960 tot 1970";"aantal";"4127"
"2000";"751-850 kg";"Bouwjaren 1970 tot 1980";"aantal";"22144"
"2000";"751-850 kg";"Bouwjaren 1980 tot 1990";"aantal";"348304"
"2000";"751-850 kg";"Bouwjaren 1990 tot 2000";"aantal";"636505"
"2000";"751-850 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"751-850 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"851-950 kg";"Totaal alle bouwjaren";"aantal";"1058895"
"2000";"851-950 kg";"Bouwjaren tot 1910";"aantal";"6"
"2000";"851-950 kg";"Bouwjaren 1910 tot 1920";"aantal";"6"
"2000";"851-950 kg";"Bouwjaren 1920 tot 1930";"aantal";"78"
"2000";"851-950 kg";"Bouwjaren 1930 tot 1940";"aantal";"103"
"2000";"851-950 kg";"Bouwjaren 1940 tot 1950";"aantal";"78"
"2000";"851-950 kg";"Bouwjaren 1950 tot 1960";"aantal";"1470"
"2000";"851-950 kg";"Bouwjaren 1960 tot 1970";"aantal";"3299"
"2000";"851-950 kg";"Bouwjaren 1970 tot 1980";"aantal";"13229"
"2000";"851-950 kg";"Bouwjaren 1980 tot 1990";"aantal";"417208"
"2000";"851-950 kg";"Bouwjaren 1990 tot 2000";"aantal";"623418"
"2000";"851-950 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"851-950 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"951-1050 kg";"Totaal alle bouwjaren";"aantal";"1121169"
"2000";"951-1050 kg";"Bouwjaren tot 1910";"aantal";"5"
"2000";"951-1050 kg";"Bouwjaren 1910 tot 1920";"aantal";"7"
"2000";"951-1050 kg";"Bouwjaren 1920 tot 1930";"aantal";"117"
"2000";"951-1050 kg";"Bouwjaren 1930 tot 1940";"aantal";"205"
"2000";"951-1050 kg";"Bouwjaren 1940 tot 1950";"aantal";"390"
"2000";"951-1050 kg";"Bouwjaren 1950 tot 1960";"aantal";"886"
"2000";"951-1050 kg";"Bouwjaren 1960 tot 1970";"aantal";"4960"
"2000";"951-1050 kg";"Bouwjaren 1970 tot 1980";"aantal";"15008"
"2000";"951-1050 kg";"Bouwjaren 1980 tot 1990";"aantal";"223632"
"2000";"951-1050 kg";"Bouwjaren 1990 tot 2000";"aantal";"875959"
"2000";"951-1050 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"951-1050 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1051-1150 kg";"Totaal alle bouwjaren";"aantal";"814669"
"2000";"1051-1150 kg";"Bouwjaren tot 1910";"aantal";"7"
"2000";"1051-1150 kg";"Bouwjaren 1910 tot 1920";"aantal";"4"
"2000";"1051-1150 kg";"Bouwjaren 1920 tot 1930";"aantal";"238"
"2000";"1051-1150 kg";"Bouwjaren 1930 tot 1940";"aantal";"406"
"2000";"1051-1150 kg";"Bouwjaren 1940 tot 1950";"aantal";"507"
"2000";"1051-1150 kg";"Bouwjaren 1950 tot 1960";"aantal";"1230"
"2000";"1051-1150 kg";"Bouwjaren 1960 tot 1970";"aantal";"6201"
"2000";"1051-1150 kg";"Bouwjaren 1970 tot 1980";"aantal";"7216"
"2000";"1051-1150 kg";"Bouwjaren 1980 tot 1990";"aantal";"108209"
"2000";"1051-1150 kg";"Bouwjaren 1990 tot 2000";"aantal";"690651"
"2000";"1051-1150 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1051-1150 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1151-1250 kg";"Totaal alle bouwjaren";"aantal";"649109"
"2000";"1151-1250 kg";"Bouwjaren tot 1910";"aantal";"0"
"2000";"1151-1250 kg";"Bouwjaren 1910 tot 1920";"aantal";"4"
"2000";"1151-1250 kg";"Bouwjaren 1920 tot 1930";"aantal";"131"
"2000";"1151-1250 kg";"Bouwjaren 1930 tot 1940";"aantal";"299"
"2000";"1151-1250 kg";"Bouwjaren 1940 tot 1950";"aantal";"61"
"2000";"1151-1250 kg";"Bouwjaren 1950 tot 1960";"aantal";"1508"
"2000";"1151-1250 kg";"Bouwjaren 1960 tot 1970";"aantal";"3404"
"2000";"1151-1250 kg";"Bouwjaren 1970 tot 1980";"aantal";"4455"
"2000";"1151-1250 kg";"Bouwjaren 1980 tot 1990";"aantal";"70162"
"2000";"1151-1250 kg";"Bouwjaren 1990 tot 2000";"aantal";"569085"
"2000";"1151-1250 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1151-1250 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1251-1350 kg";"Totaal alle bouwjaren";"aantal";"460785"
"2000";"1251-1350 kg";"Bouwjaren tot 1910";"aantal";"3"
"2000";"1251-1350 kg";"Bouwjaren 1910 tot 1920";"aantal";"2"
"2000";"1251-1350 kg";"Bouwjaren 1920 tot 1930";"aantal";"60"
"2000";"1251-1350 kg";"Bouwjaren 1930 tot 1940";"aantal";"171"
"2000";"1251-1350 kg";"Bouwjaren 1940 tot 1950";"aantal";"48"
"2000";"1251-1350 kg";"Bouwjaren 1950 tot 1960";"aantal";"1213"
"2000";"1251-1350 kg";"Bouwjaren 1960 tot 1970";"aantal";"3180"
"2000";"1251-1350 kg";"Bouwjaren 1970 tot 1980";"aantal";"9208"
"2000";"1251-1350 kg";"Bouwjaren 1980 tot 1990";"aantal";"45822"
"2000";"1251-1350 kg";"Bouwjaren 1990 tot 2000";"aantal";"401078"
"2000";"1251-1350 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1251-1350 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1351-1450 kg";"Totaal alle bouwjaren";"aantal";"180092"
"2000";"1351-1450 kg";"Bouwjaren tot 1910";"aantal";"2"
"2000";"1351-1450 kg";"Bouwjaren 1910 tot 1920";"aantal";"6"
"2000";"1351-1450 kg";"Bouwjaren 1920 tot 1930";"aantal";"30"
"2000";"1351-1450 kg";"Bouwjaren 1930 tot 1940";"aantal";"110"
"2000";"1351-1450 kg";"Bouwjaren 1940 tot 1950";"aantal";"65"
"2000";"1351-1450 kg";"Bouwjaren 1950 tot 1960";"aantal";"481"
"2000";"1351-1450 kg";"Bouwjaren 1960 tot 1970";"aantal";"2731"
"2000";"1351-1450 kg";"Bouwjaren 1970 tot 1980";"aantal";"6478"
"2000";"1351-1450 kg";"Bouwjaren 1980 tot 1990";"aantal";"21927"
"2000";"1351-1450 kg";"Bouwjaren 1990 tot 2000";"aantal";"148262"
"2000";"1351-1450 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1351-1450 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1451-1550 kg";"Totaal alle bouwjaren";"aantal";"109476"
"2000";"1451-1550 kg";"Bouwjaren tot 1910";"aantal";"0"
"2000";"1451-1550 kg";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"1451-1550 kg";"Bouwjaren 1920 tot 1930";"aantal";"20"
"2000";"1451-1550 kg";"Bouwjaren 1930 tot 1940";"aantal";"72"
"2000";"1451-1550 kg";"Bouwjaren 1940 tot 1950";"aantal";"96"
"2000";"1451-1550 kg";"Bouwjaren 1950 tot 1960";"aantal";"280"
"2000";"1451-1550 kg";"Bouwjaren 1960 tot 1970";"aantal";"2038"
"2000";"1451-1550 kg";"Bouwjaren 1970 tot 1980";"aantal";"4123"
"2000";"1451-1550 kg";"Bouwjaren 1980 tot 1990";"aantal";"12363"
"2000";"1451-1550 kg";"Bouwjaren 1990 tot 2000";"aantal";"90484"
"2000";"1451-1550 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1451-1550 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1551-1650 kg";"Totaal alle bouwjaren";"aantal";"56432"
"2000";"1551-1650 kg";"Bouwjaren tot 1910";"aantal";"0"
"2000";"1551-1650 kg";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"1551-1650 kg";"Bouwjaren 1920 tot 1930";"aantal";"24"
"2000";"1551-1650 kg";"Bouwjaren 1930 tot 1940";"aantal";"49"
"2000";"1551-1650 kg";"Bouwjaren 1940 tot 1950";"aantal";"54"
"2000";"1551-1650 kg";"Bouwjaren 1950 tot 1960";"aantal";"272"
"2000";"1551-1650 kg";"Bouwjaren 1960 tot 1970";"aantal";"1162"
"2000";"1551-1650 kg";"Bouwjaren 1970 tot 1980";"aantal";"4204"
"2000";"1551-1650 kg";"Bouwjaren 1980 tot 1990";"aantal";"7050"
"2000";"1551-1650 kg";"Bouwjaren 1990 tot 2000";"aantal";"43617"
"2000";"1551-1650 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1551-1650 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1651-1750 kg";"Totaal alle bouwjaren";"aantal";"41833"
"2000";"1651-1750 kg";"Bouwjaren tot 1910";"aantal";"0"
"2000";"1651-1750 kg";"Bouwjaren 1910 tot 1920";"aantal";"1"
"2000";"1651-1750 kg";"Bouwjaren 1920 tot 1930";"aantal";"13"
"2000";"1651-1750 kg";"Bouwjaren 1930 tot 1940";"aantal";"51"
"2000";"1651-1750 kg";"Bouwjaren 1940 tot 1950";"aantal";"36"
"2000";"1651-1750 kg";"Bouwjaren 1950 tot 1960";"aantal";"233"
"2000";"1651-1750 kg";"Bouwjaren 1960 tot 1970";"aantal";"603"
"2000";"1651-1750 kg";"Bouwjaren 1970 tot 1980";"aantal";"3072"
"2000";"1651-1750 kg";"Bouwjaren 1980 tot 1990";"aantal";"5082"
"2000";"1651-1750 kg";"Bouwjaren 1990 tot 2000";"aantal";"32742"
"2000";"1651-1750 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1651-1750 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1751-1850 kg";"Totaal alle bouwjaren";"aantal";"18660"
"2000";"1751-1850 kg";"Bouwjaren tot 1910";"aantal";"1"
"2000";"1751-1850 kg";"Bouwjaren 1910 tot 1920";"aantal";"3"
"2000";"1751-1850 kg";"Bouwjaren 1920 tot 1930";"aantal";"8"
"2000";"1751-1850 kg";"Bouwjaren 1930 tot 1940";"aantal";"31"
"2000";"1751-1850 kg";"Bouwjaren 1940 tot 1950";"aantal";"42"
"2000";"1751-1850 kg";"Bouwjaren 1950 tot 1960";"aantal";"274"
"2000";"1751-1850 kg";"Bouwjaren 1960 tot 1970";"aantal";"414"
"2000";"1751-1850 kg";"Bouwjaren 1970 tot 1980";"aantal";"1496"
"2000";"1751-1850 kg";"Bouwjaren 1980 tot 1990";"aantal";"1914"
"2000";"1751-1850 kg";"Bouwjaren 1990 tot 2000";"aantal";"14477"
"2000";"1751-1850 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1751-1850 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1851-1950 kg";"Totaal alle bouwjaren";"aantal";"12592"
"2000";"1851-1950 kg";"Bouwjaren tot 1910";"aantal";"0"
"2000";"1851-1950 kg";"Bouwjaren 1910 tot 1920";"aantal";"1"
"2000";"1851-1950 kg";"Bouwjaren 1920 tot 1930";"aantal";"8"
"2000";"1851-1950 kg";"Bouwjaren 1930 tot 1940";"aantal";"26"
"2000";"1851-1950 kg";"Bouwjaren 1940 tot 1950";"aantal";"42"
"2000";"1851-1950 kg";"Bouwjaren 1950 tot 1960";"aantal";"259"
"2000";"1851-1950 kg";"Bouwjaren 1960 tot 1970";"aantal";"382"
"2000";"1851-1950 kg";"Bouwjaren 1970 tot 1980";"aantal";"1220"
"2000";"1851-1950 kg";"Bouwjaren 1980 tot 1990";"aantal";"1952"
"2000";"1851-1950 kg";"Bouwjaren 1990 tot 2000";"aantal";"8702"
"2000";"1851-1950 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1851-1950 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"1951-2050 kg";"Totaal alle bouwjaren";"aantal";"8390"
"2000";"1951-2050 kg";"Bouwjaren tot 1910";"aantal";"0"
"2000";"1951-2050 kg";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"1951-2050 kg";"Bouwjaren 1920 tot 1930";"aantal";"7"
"2000";"1951-2050 kg";"Bouwjaren 1930 tot 1940";"aantal";"36"
"2000";"1951-2050 kg";"Bouwjaren 1940 tot 1950";"aantal";"28"
"2000";"1951-2050 kg";"Bouwjaren 1950 tot 1960";"aantal";"223"
"2000";"1951-2050 kg";"Bouwjaren 1960 tot 1970";"aantal";"386"
"2000";"1951-2050 kg";"Bouwjaren 1970 tot 1980";"aantal";"993"
"2000";"1951-2050 kg";"Bouwjaren 1980 tot 1990";"aantal";"1326"
"2000";"1951-2050 kg";"Bouwjaren 1990 tot 2000";"aantal";"5391"
"2000";"1951-2050 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"1951-2050 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"2051-2150 kg";"Totaal alle bouwjaren";"aantal";"5319"
"2000";"2051-2150 kg";"Bouwjaren tot 1910";"aantal";"0"
"2000";"2051-2150 kg";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"2051-2150 kg";"Bouwjaren 1920 tot 1930";"aantal";"6"
"2000";"2051-2150 kg";"Bouwjaren 1930 tot 1940";"aantal";"16"
"2000";"2051-2150 kg";"Bouwjaren 1940 tot 1950";"aantal";"28"
"2000";"2051-2150 kg";"Bouwjaren 1950 tot 1960";"aantal";"137"
"2000";"2051-2150 kg";"Bouwjaren 1960 tot 1970";"aantal";"465"
"2000";"2051-2150 kg";"Bouwjaren 1970 tot 1980";"aantal";"1055"
"2000";"2051-2150 kg";"Bouwjaren 1980 tot 1990";"aantal";"1293"
"2000";"2051-2150 kg";"Bouwjaren 1990 tot 2000";"aantal";"2319"
"2000";"2051-2150 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"2051-2150 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"2151-2250 kg";"Totaal alle bouwjaren";"aantal";"4881"
"2000";"2151-2250 kg";"Bouwjaren tot 1910";"aantal";"1"
"2000";"2151-2250 kg";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"2151-2250 kg";"Bouwjaren 1920 tot 1930";"aantal";"9"
"2000";"2151-2250 kg";"Bouwjaren 1930 tot 1940";"aantal";"9"
"2000";"2151-2250 kg";"Bouwjaren 1940 tot 1950";"aantal";"47"
"2000";"2151-2250 kg";"Bouwjaren 1950 tot 1960";"aantal";"152"
"2000";"2151-2250 kg";"Bouwjaren 1960 tot 1970";"aantal";"421"
"2000";"2151-2250 kg";"Bouwjaren 1970 tot 1980";"aantal";"748"
"2000";"2151-2250 kg";"Bouwjaren 1980 tot 1990";"aantal";"1284"
"2000";"2151-2250 kg";"Bouwjaren 1990 tot 2000";"aantal";"2210"
"2000";"2151-2250 kg";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"2151-2250 kg";"Bouwjaren vanaf 2010";"aantal";""
"2000";"2251-2350 kg";"Totaal alle bouwjaren";"aantal";"3509"
"2000";"2251-2350 kg";"Bouwjaren tot 1910";"aantal";"2"
"2000";"2251-2350 kg";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"2251-2350 kg";"Bouwjaren 1920 tot 1930";"aantal";"4"
"2000";"2251-2350 kg";"Bouwjaren 1930 tot 1940";"aantal";"4"
"2000";"2251-2350 kg";"Bouwjaren 1940 tot 1950";"aantal";"55"
